trial,.hidden_layers.0.0,.hidden_layers.1.0,.hidden_layers.2.0,.vocabulary_dim,rpa,spa,vrpa,vspa
FFSequence-063-783df22f,400,400,400,5000,0.9981020728922629,0.9926751875685774,0.961105052260331,0.9243911303391128
FFSequence-064-c9d42558,600,600,600,5000,0.9953144924527743,0.9879007146881765,0.9623167330129904,0.9241487939300269
FFSequence-065-97d06baf,800,800,800,5000,0.996886213338869,0.9897689866972282,0.963649581377974,0.9214830968967282
FFSequence-066-50a1df22,1000,1000,1000,5000,0.9972420746839428,0.9922896711371915,0.9608627159956887,0.9260874830360603
FFSequence-067-91fc55e6,1200,1200,1200,5000,0.9975979360042704,0.9916076035828485,0.9638919177942821,0.9229371133290333
FFSequence-068-6fe91982,400,400,400,7000,0.9973013848936865,0.9922007057916432,0.9660729428760705,0.9252393064709211
FFSequence-069-5333715f,600,600,600,7000,0.9983393137807302,0.9941579431338701,0.961105052260331,0.9223312733174237
FFSequence-070-5b3dae73,800,800,800,7000,0.9975682808932119,0.993475875567154,0.9608627164362417,0.9257239788557622
FFSequence-071-0350479e,1000,1000,1000,7000,0.9980131075590878,0.9925269120132855,0.9575911783730061,0.9211195925719865
FFSequence-072-18f94752,1200,1200,1200,7000,0.997953797336971,0.993386910246352,0.9613473885321955,0.9206349201871455
FFSequence-073-bcf11f3d,400,400,400,10000,0.9957889742297085,0.9888200231309866,0.9578335146448705,0.9252393063264776
FFSequence-074-d4363397,600,600,600,10000,0.9947807004537232,0.9860917529259877,0.961589724645172,0.9236641221229602
FFSequence-075-097564e7,800,800,800,10000,0.9967972480056938,0.9905103644613149,0.962195564952891,0.927905003793107
FFSequence-076-abc820fd,1000,1000,1000,10000,0.9975386257821536,0.9930310489012781,0.9586816909139003,0.9199079121154365
FFSequence-077-9257852e,1200,1200,1200,10000,0.9962931111177011,0.98899795380971,0.9630437413735865,0.9266933231921134
